env_id,task_type,instruction,workflow,obj_tags,rob_tags,iter_tags,query,query_selections,answer
Tabletop-Balance-Pivot-WithBalls-v1,interactive,Put the balls in to the holder to balance the long board on the triangular prism,"[""pick and put one ball in the holder and see whether balance"", ""pick and put one ball in the holder and see whether balance"", ""pick and put one ball in the holder and see whether balance"", ""pick and put one ball in the holder and see whether balance"", ""pick and put one ball in the holder and see whether balance""]","[""mass_estimation"", ""scale_analysis""]",[],"[""tool_using"", ""learning_physical_from_execution"", ""failure_driven_adaptation"", ""planning_at_start""]",How many balls can make the pivot balance?,"{""A"": ""4"", ""B"": ""5"", ""C"": ""6""}",B
Tabletop-Clean-For-Dinner-v1,interactive,"Arrange the bowl, fork onto the plate, clean for dinner ","[""pick the bowl and put it on the plate"", ""pick the fork and put it on the bowl""]",[],[],[],Which item should be placed on the plate first?,"{""A"": ""The bowl"", ""B"": ""The fork""}",A
Tabletop-Close-Cabinet-WithObstacle-v1,interactive,close the cabinet door,"[""open the door"", ""move out the obstacle"", ""close the door""]","[""obstacle_handling""]",[],"[""planning_at_start""]",Which approach would most likely succeed in closing the cabinet?,"{""A"": ""Apply force directly to the door"", ""B"": ""Move the obstacle first, then close the door""}",B
Tabletop-Close-Door-WithObstacle-v1,interactive,close the door,"[""open the door"", ""move the bowl"", ""close the door""]",[],[],[],What should be done first to close the door?,"{""A"": ""Grasp and move the bowl"", ""B"": ""Push the door handle directly""}",A
Tabletop-Close-Drawer-WithLongObstacle-v1,interactive,close the drawer,"[""open the drawer"", ""pick the board and put it on the desk"", ""close the drawer""]","[""obstacle_handling"", ""geometric_reasoning""]",[],"[""planning_at_start"", ""failure_driven_adaptation""]",What's the best approach to close the drawer?,"{""A"": ""Push the drawer directly"", ""B"": ""Remove the red obstacle first, then close the drawer""}",B
Tabletop-Close-Drawer-WithObstacle-v1,interactive,close the drawer,"[""open the cabinet door"", ""pull the obstacle"", ""close the cabinet"", ""close the drawer""]","[""obstacle_handling"", ""geometric_reasoning""]","[""action_fitting"", ""perceptual_perspective_optimization""]","[""planning_at_start"", ""failure_driven_adaptation""]",What should do first before closing the drawer?,"{""A"": ""Open the cabinet"", ""B"": ""Move the stick away""}",B
Tabletop-Find-Book-Black-v1,interactive,Find and pick the black book from the bookshelf and put it on the marker ,"[""rotate hand to face forward"", ""move around the book to find the black one "", ""pick the book and place it on the marker""]","[""geometric_reasoning"", ""obstacle_handling""]","[""perceptual_perspective_optimization""]","[""experience_utilization""]",Where is the black book?,"{""A"": ""On the right column, the first book"", ""B"": ""In the middle column, the third book"", ""C"": ""On the left column, the second book""}",C
Tabletop-Find-Book-FromShelf-v1,interactive,Find and pick the highest book from the bookshelf and put it on the marker ,"[""rotate hand to face forward"", ""move to the highest book"", ""pick the book and place it on the marker""]","[""geometric_reasoning""]","[""perceptual_perspective_optimization""]","[""experience_utilization""]",which is the highest book,"{""A"": ""A"", ""B"": ""B"", ""C"": ""C""}",B
Tabletop-Find-Cube-RedDown-v1,interactive,"find the cube which have red face downward, and put it on the marker with red face upward","[""see all the face of farest cube "", ""see all the face of left cube "", ""see all the face of nearst cube "", ""find the cube have no red face over the ground and put it to the marker""]","[""orientation_operation""]","[""perceptual_perspective_optimization"", ""action_fitting""]","[""experience_utilization"", ""planning_at_start""]",which seal has red face downward,"{""A"": ""A"", ""B"": ""B"", ""C"": ""C""}",B
Tabletop-Find-Cube-WithPivot-v1,interactive,Move the heavy cube to the goal region,"[""put the left cube on the pivot"", ""put the right cube on the pivot"", ""find the heavy cube and put it on the marker""]","[""mass_estimation""]",[],"[""tool_using"", ""planning_at_start""]",which cube is heavier,"{""A"": ""A"", ""B"": ""B""}",A
Tabletop-Find-Dice-v1,interactive,find the dice which have 2 and 4 point in the corresponding face and put it on the marker,"[""rotate left dice"", ""rotate right dice"", ""find the dice have 2 and 4 in the corresponding face and put it on the marker""]","[""geometric_reasoning"", ""orientation_operation""]","[""perceptual_perspective_optimization""]","[""experience_utilization"", ""planning_at_start""]",which dice has 2 and 4 point in the corresponding face,"{""A"": ""A"", ""B"": ""B""}",A
Tabletop-Finish-Hanobi-v1,interactive,Place all the hanobi in big to small from bottom to up,"[""move the red one to the right"", ""move the yellow one to the right"", ""move the blue one to the top of right""]","[""geometric_reasoning"", ""sequential_mechanism_processing""]","[""action_fitting""]","[""planning_at_start"", ""experience_utilization""]","What is the size order of the yellow, red, and blue hanoi?","{""A"": ""Yellow > Blue > Red"", ""B"": ""Red > Yellow > Blue"", ""C"": ""Blue > Yellow > Red""}",B
Tabletop-Insert-Conical-v1,interactive,insert the conical to the container,"[""pick the bottle up "", ""align the bottle with the holder"", ""place the bottle down""]","[""geometric_reasoning"", ""orientation_operation""]",[],[],What to prevent while insert the water bottle,"{""A"": ""Tilting the bottle too much, which may cause misalignment"", ""B"": ""Moving too slowly, which wastes time and energy""}",A
Tabletop-Insert-Objects-WithShape-v1,interactive,insert all the stick on the table into corresponding holes,"[""pick the triangle and put it on the left hole"", ""pick the round one and put it to the round hole"", ""pick the square one and put it to the central hole""]","[""geometric_reasoning""]",[],"[""planning_at_start""]",Which hole is for the cylinder?,"{""A"": ""A hole"", ""B"": ""B hole"", ""C"": ""C hole""}",A
