Task,VideoLength
Tabletop_Rotate_USB_v1,0
Tabletop_Open_Drawer_v1,2337
Tabletop_Lift_Book_v1,1010
Tabletop_Insert_Objects_v1,756
Tabletop_Insert_WithOrientation_v1,931
Tabletop_Pull_Pivot_v1,958
Tabletop_Rotate_Holder_v1,301
Tabletop_Pick_Apple,582
trajectory_20250414_160747,295
Tabletop_Find_Cube_WithPivot_v1,1383
Tabletop_Seek_Holder_InCabinet_v1,731
Tabletop_Rotate_Cube,136
Tabletop_Open_Door_WithObstacle_v1,648
Tabletop_Move_Cross_WithStick_v1,926
Tabletop_Seek_Objects_InCabinet_v1,2284
Tabletop_Insert_Conical_v1,135
Tabletop_Open_Cabinet_v1,438
Tabletop_Move_Apple_DynamicMass_v1,582
Tabletop_Close_Door_v1,1
Tabletop_Find_Seal_v1,462
Tabletop_Move_Cube_WithPivot_v1,3023
Tabletop_Pick_Book_FromShelf_v1,103
Tabletop_Find_Book_Black_v1,1967
Tabletop_Pick_Cylinder_WithObstacle_v1,2693
Tabletop_Close_Cabinet_WithObstacle_v1,619
Tabletop_Balance_Pivot_WithBalls_v1,1244
Tabletop_Put_Cube_IntoCabinetWithObstacle_v1,1101
Tabletop_Open_Trigger_v1,73
Tabletop_Clean_For_Dinner_v1,200
Tabletop_Pick_Pen_v1,445
Tabletop_Pick_Apple_v1,582
Tabletop_Open_Door_WithCabinet_v1,516
Tabletop_Pull_Pivot,958
Tabletop_Close_Cabinet_v1,1
Tabletop_Close_Drawer_v1_20250401_142052,76
Tabletop_Move_Line_WithStick_v1,1172
Tabletop_Pick_Cube_WithDoor_v1,283
Tabletop_Put_Fork_OnPlate_v1,352
Tabletop_Open_Cabinet_WithDoor_v1,382
Tabletop_Stack_LongObjects_v1,675
Tabletop_Find_Dice,808
Tabletop_Insert_Objects,866
Tabletop_Move_Cube_DynamicFriction_v1,801
Tabletop_Close_Microwave_v1,402
Tabletop_Seek_Objects_WithObstacle_v1,1505
Tabletop_Slide_Cube_WithPath_v1,339
Tabletop_Clean_For_Dinner,428
Tabletop_Move_Cube_WithHolder_v1,517
Tabletop_Rotate_Cube_v1,316
Tabletop_Open_Cabinet_WithObstacle_v1,1255
Tabletop_Open_Cabinet,1334
Tabletop_Stack_Books_v1,1208
Tabletop_Move_Balls_WithPivot_v1,419
Tabletop_Close_Door_WithObstacle_v1,338
Tabletop_Rotate_Holder,301
Tabletop_Pick_Cube_Slippery_v1,487
Tabletop_Keep_Pivot_Balance,2279
Tabletop_Stack_Cube_WithColor_v1,628
Tabletop_Stack_Cubes_v1,301
Tabletop_Close_Drawer_WithObstacle_v1,319
Tabletop_Move_Balls_WithDustpan_v1,293
Tabletop_Pick_Eraser_FromHolder1_v1,1667
Tabletop_Open_Cabinet_WithSwitch_v1,2473
Tabletop_Move_Cube_DynamicMass_v1,141
Tabletop_Pick_Cube_ToHolder_v1,269
Tabletop_Close_Drawer_WithLongObstacle_v1,525
Tabletop_Slide_Cube_Into_Container_v1,184
Tabletop_Stack_Books_OnBox_v1,1032
Tabletop_Put_Ball_IntoContainer_v1,266
Tabletop_Find_Book_From_Shelf,1312
Tabletop_Pick_Cube_WithStick_v1,2344
